Nom du site	Categorie	Adresse 1	Adresse 2	Code Postal	Ville	Numero de telephone	Email	URL	Longitude	Latitude
L'Ecole Superieure d'Art et de Design Marseille-Mediterranee	Autres lieux de culture	184 avenue de Luminy	case 912	13009	Marseille	04 91 82 83 10		http://culture.marseille.fr/enseignement/ecole-sup%C3%A9rieure-dart-et-de-design	5.43653697994331	43.2288388194373
Ecole nationale superieure de danse de Marseille	Autres lieux de culture	20 boulevard de Gabes		13008	Marseille	04 91 32 72 72		http://Ensdm.marseille.fr	5.38350168265648	43.2649830549375
Conservatoire national de region	Autres lieux de culture	Place Carli		13001	Marseille	04 91 55 35 74		http://Conservatoire-national-de-region.marseille.fr	5.38307301225626	43.2957006688621
Espace culture	Autres lieux de culture	42, La Canebiere		13001	Marseille	04 96 11 04 60		http://www.espaceculture.net/	5.37816524543312	43.2964367302696
Observatoire de Marseille	Autres lieux de culture	2, place LeVerrier		13004	Marseille	04 95 04 41 26		http://culture.marseille.fr/patrimoine-culturel/observatoire-de-marseille	5.39342522454639	43.3057608162919
Friche de la Belle de Mai	Autres lieux de culture	41, rue Jobin		13003	Marseille	04 95 04 95 04		http://Friche-de-la-belle-de-mai.marseille.fr	5.39029799248336	43.3097547935523
Cite des arts de la rue	Autres lieux de culture	225 avenue des Aygalades		13015	Marseille			http://Cite-des-arts-de-la-rue.marseille.fr	5.36618311840202	43.3474255274389
Atelier du Patrimoine	Autres lieux de culture	10 ter, square Belsunce		13001	Marseille	04 91 90 78 74			5.37639898333874	43.2978444939668
Memorial de la Marseillaise	Musees	23-25 rue Thubaneau		13001	Marseille	04 91 91 91 97		http://Memorial-de-la-marseillaise.marseille.fr	5.3785012299159	43.2979589077336
Maison des cinematographies de la mediterranee	Autres lieux de culture	Traverse de la Buzine		13011	Marseille			http://Buzine.marseille.fr	5.50245402391495	43.2953644742687
Klap Maison pour la Danse	Autres lieux de culture	5 avenue Rostand		13003	Marseille	04 96 11 11 20		http://www.kelemenis.fr/	5.37772956823579	43.3119591142001
Maison de l'Artisanat et des Metiers d'Art	Musees	21 Estienne d'Orves		13001	Marseille	04 91 54 80 54	contact@maisondelartisanat.org	http://www.maisondelartisanat.org	5.37321628443086	43.2926970525811
Fondation Monticelli	Musees	Fortin de Corbieres - Route du Rove/RN 568	L'Estaque	13016	Marseille	04 91 03 49 46	contact@fondationmonticelli.com	http://www.fondationmonticelli.com/	5.28709439791653	43.3561963254935
Cite de la Musique	Autres lieux de culture	4 , Rue Bernard du Bois		13001	Marseille	04 91 39 28 28	contact@citemusique-marseille.com	http://www.citemusique-marseille.com/	5.37528223787718	43.3016126490531
Chateau Borely, musee des Arts Decoratifs, de la Faience et de la Mode	Musees	134 Avenue Clot-Bey		13008	Marseille	04 91 25 26 34		http://musee-borely.marseille.fr	5.38189879220773	43.2574242251837
Musee Regards de Provence	Musees	Allee regards de Provence	rue Vaudaoyer	13002	Marseille	04 96 17 40 40		http://www.museeregardsdeprovence.com	5.36336777170529	43.2974296238337
MuCEM Musee des Civilisations d'Europe et Mediterranee	Musees	7 promenade Robert Laffont (esplanade du J4)		13002	Marseille	04 84 35 13 00		http://www.mucem.org	5.36117784632206	43.2965516651636
Villa Mediterranee	Musees	Esplanade J4		13002	Marseille	04 95 09 44 00		http://www.villa-mediterranee.org	5.36203102346453	43.2970872136404
Fonds Regional d'Art Contemporain (FRAC)	Musees	20 Boulevard de Dunkerque		13002	Marseille	04 91 91 27 55		fracpaca.org	5.36758715329788	43.3057830711444
Odeon	Odeon	162 La Canebiere		13001	Marseille	04 96 12 52 70		http://Odeon.marseille.fr	5.38459044340855	43.2986320634633
Opera de Marseille	Opera	5 Place Ernest Reyer		13001	Marseille	04 91 55 21 65		http://opera.marseille.fr/	5.37584938808145	43.2934373568855
Le Moulin	Salles de spectacle	47 Boulevard Perrin		13013	Marseille	04 91 06 33 94	info[@]lemoulin.org	http://www.lemoulin.org/	5.40790816356091	43.3193376517705
Le Silo	Salles de spectacle	35, quai du Lazaret		13002	Marseille			http://silo.marseille.fr/	5.36650311019804	43.3107031761044
Espace Julien	Salles de spectacle	39, Cours Julien		13006	Marseille	04 91 24 34 10	contact@espace-julien.com	http://www.espace-julien.com	5.38338502835306	43.2943141088573
Le Dome	Salles de spectacle	48 avenue de Saint Just		13004	Marseille			http://Dome.marseille.fr	5.40366345580585	43.3152107086434
Theatre de la Minoterie	Theatres	 2 Place Henri Verneuil		13002	Marseille	04 91 90 07 94		http://www.theatrejoliette.fr	5.36706828934954	43.3094359688573
Badaboum Theatre	Theatres	16 Quai de Rive Neuve		13007	Marseille			http://www.badaboum-theatre.com/	5.36779556670265	43.2926266132359
Theatre Nono	Theatres	35 Traverse de Carthage		13008	Marseille				5.36610323577805	43.2368613126805
Theatre Gyptis	Theatres	136 Rue Loubon		13003	Marseille				5.38426900190354	43.3126954744087
Theatre Axel Toursky	Theatres	16 Passage Leo Ferre		13003	Marseille				5.37756384654421	43.3152663222006
La baleine qui dit 'vague'	Theatres	59 Cours Julien		13006	Marseille				5.38367202816644	43.293620382711
Theatre les 3 acts	Theatres	48 Rue Barbaroux		13001	Marseille	04 91 42 51 20			5.38768040126085	43.2982208762212
Theatre du Gymnase	Theatres	4 Rue du Theatre Francais		13001	Marseille	08 20 00 04 22	reservation@lestheatres.net	http://www.lestheatres.net	5.38208378394383	43.297701564239
Odeon	Theatres	162 La Canebiere		13001	Marseille	04 96 12 52 70		http://Odeon.marseille.fr	5.38459089945054	43.2986410584855
Theatre Mazenod	Theatres	88 rue d'Aubagne		13001	Marseille	04 91 54 04 69			5.38172844185015	43.2935772887039
Theatre de Tatie	Theatres	19 Quai de Rive Neuve		13007	Marseille				5.36827173066147	43.292761790405
Theatre de l'Oeuvre	Theatres	1 rue de la Mission de France		13001	Marseille	04 91 33 74 63			5.38015083961284	43.2982518621387
Theatre Nau	Theatres	9 Rue Nau		13006	Marseille	04 91 92 36 97			5.38668982028832	43.2928246952378
Theatre du Petit Matin	Theatres	67 A rue Ferrari		13005	Marseille	04 91 48 98 59		http://www.theatredupetitmatin.org	5.39063512528934	43.2934489817607
Theatre du Merlan	Theatres	Avenue Raimu		13014	Marseille	04 91 11 19 20		http://www.merlan.org	5.39844501946689	43.3304580265487
Theatre Le Tetard	Theatres	33 Rue Ferrari		13005	Marseille	04 91 47 39 93		http://www.letetard.com	5.39163807418702	43.2932417880849
Theatre des Bernardines	Theatres	17 boulevard Garibaldi		13001	Marseille	04 91 24 30 40		http://www.theatrebernardines.org	5.38137034410406	43.2965352508644
Athanor Theatre	Theatres	2 rue Vian		13006	Marseille	04 91 48 02 02		http://www.athanortheatre. com	5.38359454889406	43.2951787085731
Theatre de Lenche	Theatres	4 Place de Lenche		13002	Marseille	04 91 91 52 22			5.36589510414658	43.2975836604285
Theatre Off	Theatres	16 Quai de Rive Neuve		13007	Marseille	04 91 33 12 92			5.3722294992217	43.2936069187782
Theatre Massalia	Theatres	Rue Jobin		13003	Marseille	04 95 04 95 70		http://www.theatremassalia.com	5.3904533815777	43.3095054138266
Creuset des Arts	Theatres	21 rue Pagliano		13004	Marseille	04 91 06 57 02	creusetdesarts.ntb@creusetdesarts.com	http://www.creusetdesarts.com	5.40831308052034	43.3103641944075
Divaldo Theatre	Theatres	69 rue Sainte Cecile		13005	Marseille	04 91 25 94 34	contact@divadlo.org	http://www.divadlo.org	5.39463084807486	43.2880015556319
L'Antidote	Theatres	132 boulevard de la Blancarde		13004	Marseille	04 91 34 20 08		http://theatreantidote.fr	5.40552238003927	43.303540507344
L'Archange	Theatres	36 rue Negresco		13008	Marseille	04 91 76 15 97	 archangetheatre@orange.fr	http://www.archangetheatre.fr	5.39154972028077	43.2700703910796
Le Parvis des Arts	Theatres	8 Rue Pasteur Heuze		13003	Marseille	04 91 64 06 37	contact@parvisdesarts.com	http://www.parvisdesarts.com	5.37416944324892	43.3054617496154
Le 16-19	Theatres	16 quai de Rive Neuve		13007	Marseille	04 91 54 95 00	contact@16-19.fr	http://www.16-19.fr	5.37011211696249	43.2930058430786
Les Bancs Publics	Theatres	10 rue Ricard		13003	Marseille	04 91 64 60 00	bancspublics@free.fr		5.3841171856164	43.3133809015543
Maison de Theatre La Cite	Theatres	54 rue Edmond Rostand		13006	Marseille	04 91 53 95 61	cie.lacite@wanadoo.fr	http://www.maisondetheatre.com	5.38117487783234	43.2862222036909
Montevideo	Theatres	3 impasse Montevideo		13006	Marseille	04 91 04 68 41	info@montevideo-marseille.com	http://www.montevideo-marseille.com	5.37800315101058	43.2864069445163
Theatre Carpe Diem	Theatres	6/8 impasse Delpech		13003	Marseille	04 91 08 57 71	theatrecarpediem@free.fr	www.theatrecarpediem.com	5.37882232077606	43.3111279737107
Theatre de la Ferronnerie	Theatres	34 rue Consolat		13001	Marseille	04 91 08 16 06	pourquoipasnous13@yahoo.fr		5.39251110571422	43.3025789734448
Theatrede la Girafe	Theatres	Parc Longchamp		13004	Marseille	04 91 87 32 22			5.39687388366309	43.3054240300387
Theatredu Lacydon	Theatres	3 Montee Saint Esprit		13002	Marseille	04 91 90 96 70			5.36920131500966	43.2981735224318
Theatre Le petit Merlan	Theatres	39 avenue du Merlan		13014	Marseille	04 91 02 28 19	contact@theatre-petitmerlan.com	http://www.theatre-petitmerlan.com	5.40748239152115	43.3351483453403
Theatre Les Argonautes	Theatres	33 boulevard Longchamp		13001	Marseille	04 91 50 32 08	theatrelesargonautes@free.fr	http://theatrelesargonautes.free.fr	5.3881939798151	43.3013538505897
Theatre Marie Jeanne	Theatres	56 rue Berlioz		13006	Marseille	04 96 12 62 91	theatre.mariejeanne@hotmail.fr	http://theatre.mariejeanne.free.fr	5.38604171117909	43.2900448181241
Theatre National de Marseille La Criee	Theatres	Quai de Rive Neuve		13007	Marseille	04 91 54 70 54	contact@theatre-lacriee.com	http://www.theatre-lacriee.com	5.36785419454433	43.2924901379708
Theatre Silvain	Theatres	271, Corniche J.F Kennedy		13007	Marseille	04 91 14 54 10	theatresilvain@mairiedupremiersecteur.fr	http://www.capsur2013.fr	5.35533439186468	43.2813600230042
